 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  14. 3.    Time:  11:43:41
 Units: L = cm   , T = sec  , M = g    
 
 CosAlf,MaxIt,TolTh,  TolH
 1.000   10   0.001 1.00000
 
 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lChem,lTemp,lRoot,lWDep
     T     F     T     F     F     F     F     F     T     T     F     F     F

Nodal point information

node      x         hOld    MatN LayN  Beta      Ah       AK      ATh     Temp    Conc(1...NS)         Sorb(1...NS)
 108     -2.140      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 109     -2.160      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 110     -2.180      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 111     -2.200      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 112     -2.220      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 113     -2.240      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 114     -2.260      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 115     -2.280      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 116     -2.300      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 117     -2.320      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 118     -2.340      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 119     -2.360      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 120     -2.380      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 121     -2.400      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 122     -2.420      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 123     -2.440      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 124     -2.460      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 125     -2.480      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 126     -2.500      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 127     -2.520      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 128     -2.540      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 129     -2.560      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 130     -2.580      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 131     -2.600      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 132     -2.620      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 133     -2.640      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 134     -2.660      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 135     -2.680      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 136     -2.700      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 137     -2.720      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 138     -2.740      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 139     -2.760      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 140     -2.780      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 141     -2.800      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 142     -2.820      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 143     -2.840      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 144     -2.860      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 145     -2.880      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 146     -2.900      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 147     -2.920      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 148     -2.940      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 149     -2.960      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 150     -2.980      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 151     -3.000      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 152     -3.020      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 153     -3.040      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 154     -3.060      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 155     -3.080      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 156     -3.100      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 157     -3.120      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 158     -3.140      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 159     -3.160      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 160     -3.180      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 161     -3.200      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 162     -3.220      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 163     -3.240      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 164     -3.260      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 165     -3.280      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 166     -3.300      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 167     -3.320      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 168     -3.340      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 169     -3.360      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 170     -3.380      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 171     -3.400      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 172     -3.420      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 173     -3.440      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 174     -3.460      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 175     -3.480      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 176     -3.500      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 177     -3.520      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 178     -3.540      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 179     -3.560      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 180     -3.580      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 181     -3.600      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 182     -3.620      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 183     -3.640      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 184     -3.660      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 185     -3.680      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 186     -3.700      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 187     -3.720      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 188     -3.740      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 189     -3.760      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 190     -3.780      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 191     -3.800      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 192     -3.820      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 193     -3.840      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 194     -3.860      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 195     -3.880      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 196     -3.900      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 197     -3.920      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 198     -3.940      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 199     -3.960      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 200     -3.980      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 201     -4.000      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 202     -4.020      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 203     -4.040      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 204     -4.060      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 205     -4.080      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 206     -4.100      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 207     -4.120      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 208     -4.140      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 209     -4.160      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 210     -4.180      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 211     -4.200      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 212     -4.220      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 213     -4.240      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 214     -4.260      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 215     -4.280      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 216     -4.300      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 217     -4.320      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 218     -4.340      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 219     -4.360      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 220     -4.380      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 221     -4.400      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 222     -4.420      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 223     -4.440      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 224     -4.460      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 225     -4.480      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
