,ini,-0.12,-0.26,-0.76,-1.5,-2.5,-3.5,-4.5
1,0.003207031,0.0004906,0.001203,0.002733,0.003202,0.003207,0.003207,0.003207
1,0.003810531,0.0005829,0.001429,0.003247,0.003805,0.00381,0.00381,0.00381
1,0.003207031,0.0004906,0.001203,0.002733,0.003202,0.003207,0.003207,0.003207
1,0.003810531,0.0005829,0.001429,0.003247,0.003805,0.00381,0.00381,0.00381
1,0.003775031,0.0005775,0.001416,0.003217,0.003769,0.003775,0.003775,0.003775
1,0.003775031,0.0005775,0.001416,0.003217,0.003769,0.003775,0.003775,0.003775
1,0.003242531,0.000496,0.001216,0.002763,0.003237,0.003242,0.003242,0.003242
1,0.003775031,0.0005775,0.001416,0.003217,0.003769,0.003775,0.003775,0.003775
1,0.003242531,0.000496,0.001216,0.002763,0.003237,0.003242,0.003242,0.003242
1,0.003065031,0.0004689,0.001149,0.002612,0.00306,0.003065,0.003065,0.003065
1,0.003065031,0.0004689,0.001149,0.002612,0.00306,0.003065,0.003065,0.003065
1,0.003100531,0.0004743,0.001163,0.002642,0.003096,0.003101,0.003101,0.003101
1,0.003065031,0.0004689,0.001149,0.002612,0.00306,0.003065,0.003065,0.003065
1,0.003100531,0.0004743,0.001163,0.002642,0.003096,0.003101,0.003101,0.003101
1,0.003633031,0.0005557,0.001362,0.003096,0.003627,0.003633,0.003633,0.003633
1,0.003633031,0.0005557,0.001362,0.003096,0.003627,0.003633,0.003633,0.003633
1,0.003668531,0.0005612,0.001376,0.003126,0.003663,0.003668,0.003668,0.003668
1,0.003633031,0.0005557,0.001362,0.003096,0.003627,0.003633,0.003633,0.003633
1,0.003668531,0.0005612,0.001376,0.003126,0.003663,0.003668,0.003668,0.003668
1,0.003349031,0.0005123,0.001256,0.002854,0.003344,0.003349,0.003349,0.003349
1,0.003349031,0.0005123,0.001256,0.002854,0.003344,0.003349,0.003349,0.003349
1,0.003952531,0.0006046,0.001482,0.003368,0.003947,0.003953,0.003953,0.003953
1,0.003349031,0.0005123,0.001256,0.002854,0.003344,0.003349,0.003349,0.003349
1,0.003952531,0.0006046,0.001482,0.003368,0.003947,0.003953,0.003953,0.003953
1,0.003917031,0.0005992,0.001469,0.003338,0.003911,0.003917,0.003917,0.003917
1,0.003917031,0.0005992,0.001469,0.003338,0.003911,0.003917,0.003917,0.003917
1,0.003384531,0.0005177,0.001269,0.002884,0.003379,0.003385,0.003385,0.003385
