,ini,-0.09,-0.22,-0.71,-1.5,-2.5,-3.5,-4.5
1,0.004724043,0.00085795,0.002084,0.0045105,0.004724,0.004724,0.004724,0.004724
1,0.004568652,0.0008297,0.002015,0.004362,0.004569,0.004569,0.004569,0.004569
1,0.004568652,0.0008297,0.002015,0.004362,0.004569,0.004569,0.004569,0.004569
1,0.004577793,0.0008314,0.002019,0.0043705,0.004578,0.004578,0.004578,0.004578
1,0.004577793,0.0008314,0.002019,0.0043705,0.004578,0.004578,0.004578,0.004578
1,0.004577793,0.0008314,0.002019,0.0043705,0.004578,0.004578,0.004578,0.004578
1,0.004714902,0.0008563,0.00208,0.0045015,0.004715,0.004715,0.004715,0.004715
1,0.004714902,0.0008563,0.00208,0.0045015,0.004715,0.004715,0.004715,0.004715
1,0.003992793,0.00072515,0.001761,0.0038125,0.003993,0.003993,0.003993,0.003993
1,0.003992793,0.00072515,0.001761,0.0038125,0.003993,0.003993,0.003993,0.003993
1,0.003992793,0.00072515,0.001761,0.0038125,0.003993,0.003993,0.003993,0.003993
1,0.004129902,0.00075005,0.001822,0.003943,0.00413,0.00413,0.00413,0.00413
1,0.004129902,0.00075005,0.001822,0.003943,0.00413,0.00413,0.00413,0.00413
1,0.004870293,0.0008845,0.002148,0.00465,0.00487,0.00487,0.00487,0.00487
1,0.004870293,0.0008845,0.002148,0.00465,0.00487,0.00487,0.00487,0.00487
1,0.004870293,0.0008845,0.002148,0.00465,0.00487,0.00487,0.00487,0.00487
1,0.003837402,0.00069695,0.001693,0.003664,0.003837,0.003837,0.003837,0.003837
1,0.003837402,0.00069695,0.001693,0.003664,0.003837,0.003837,0.003837,0.003837
1,0.004285293,0.00077825,0.00189,0.0040915,0.004285,0.004285,0.004285,0.004285
1,0.004285293,0.00077825,0.00189,0.0040915,0.004285,0.004285,0.004285,0.004285
1,0.004285293,0.00077825,0.00189,0.0040915,0.004285,0.004285,0.004285,0.004285
1,0.004422402,0.0008032,0.001951,0.0042225,0.004422,0.004422,0.004422,0.004422
1,0.004422402,0.0008032,0.001951,0.0042225,0.004422,0.004422,0.004422,0.004422
1,0.004797168,0.00087125,0.002116,0.00458,0.004797,0.004797,0.004797,0.004797
1,0.004797168,0.00087125,0.002116,0.00458,0.004797,0.004797,0.004797,0.004797
