"1","Cini","final mass in soil (g.cm2)","final mass in soil top 2cm (g.cm2)","initial mass in soil (g.cm2)","initial mass in soil top 2cm (g.cm2)","mass.out","mass.out 2cm","NSE"
"1",0.003473281,0.0360416944100004,0.00290808721,0.0368138000000006,0.00368138,0.000772105590000183,0.000773292789999996,0.986902992923665
"1",0.004005781,0.0415711266400007,0.00335418344,0.0424636000000008,0.00424636,0.000892473360000041,0.00089217656,0.854779627880229
"1",0.004005781,0.0415711266400007,0.00335418344,0.0424636000000008,0.00424636,0.000892473360000041,0.00089217656,0.854779627880229
"1",0.004041281,0.0419350479600003,0.00338377016,0.0428346000000002,0.00428346,0.000899552039999939,0.000899689839999997,0.834359392374281
"1",0.004005781,0.0415711266400007,0.00335418344,0.0424636000000008,0.00424636,0.000892473360000041,0.00089217656,0.854779627880229
"1",0.004041281,0.0419350479600003,0.00338377016,0.0428346000000002,0.00428346,0.000899552039999939,0.000899689839999997,0.834359392374281
"1",0.003224781,0.0334666073659999,0.002700287566,0.0341849999999999,0.00341849999999999,0.000718392633999983,0.000718212433999997,0.934231772944636
"1",0.003224781,0.0334666073659999,0.002700287566,0.0341849999999999,0.00341849999999999,0.000718392633999983,0.000718212433999997,0.934231772944636
"1",0.003402281,0.0353040866260003,0.002848762826,0.0360612000000003,0.00360612,0.00075711337400005,0.000757357174000001,0.979262693440351
"1",0.003224781,0.0334666073659999,0.002700287566,0.0341849999999999,0.00341849999999999,0.000718392633999983,0.000718212433999997,0.934231772944636
"1",0.003402281,0.0353040866260003,0.002848762826,0.0360612000000003,0.00360612,0.00075711337400005,0.000757357174000001,0.979262693440351
"1",0.003792781,0.0393603951979995,0.003175673398,0.0402057999999995,0.00402058,0.000845404801999974,0.000844906602,0.947742770077093
"1",0.003792781,0.0393603951979995,0.003175673398,0.0402057999999995,0.00402058,0.000845404801999974,0.000844906602,0.947742770077093
"1",0.003970281,0.0411983458399997,0.00332434444,0.0420819999999998,0.0042082,0.000883654160000066,0.000883855560000002,0.874174722697118
"1",0.003792781,0.0393603951979995,0.003175673398,0.0402057999999995,0.00402058,0.000845404801999974,0.000844906602,0.947742770077093
"1",0.003970281,0.0411983458399997,0.00332434444,0.0420819999999998,0.0042082,0.000883654160000066,0.000883855560000002,0.874174722697118
"1",0.003508781,0.0364134228420002,0.002937976242,0.0371954000000002,0.00371954,0.000781977158000012,0.000781563757999997,0.988541885620527
"1",0.003508781,0.0364134228420002,0.002937976242,0.0371954000000002,0.00371954,0.000781977158000012,0.000781563757999997,0.988541885620527
"1",0.003686281,0.0382511342419994,0.003086503442,0.0390715999999994,0.00390716,0.000820465757999933,0.000820656558000003,0.974214308837856
"1",0.003508781,0.0364134228420002,0.002937976242,0.0371954000000002,0.00371954,0.000781977158000012,0.000781563757999997,0.988541885620527
"1",0.003686281,0.0382511342419994,0.003086503442,0.0390715999999994,0.00390716,0.000820465757999933,0.000820656558000003,0.974214308837856
"1",0.004076781,0.04230808422,0.00341373742,0.0432162000000002,0.00432162,0.000908115780000114,0.000907882579999998,0.811810260181031
"1",0.004076781,0.04230808422,0.00341373742,0.0432162000000002,0.00432162,0.000908115780000114,0.000907882579999998,0.811810260181031
"1",0.003118281,0.0323589448900003,0.00261098299,0.0330508000000002,0.00330508,0.000691855109999966,0.00069409701,0.88952815895393
"1",0.004076781,0.04230808422,0.00341373742,0.0432162000000002,0.00432162,0.000908115780000114,0.000907882579999998,0.811810260181031
"1",0.003118281,0.0323589448900003,0.00261098299,0.0330508000000002,0.00330508,0.000691855109999966,0.00069409701,0.88952815895393
"1",0.003366781,0.0349400569740006,0.002819141974,0.0356902000000007,0.00356902000000001,0.000750143026000093,0.000749878026000003,0.973295131059473
"1",0.003366781,0.0349400569740006,0.002819141974,0.0356902000000007,0.00356902000000001,0.000750143026000093,0.000749878026000003,0.973295131059473
"1",0.003260281,0.0338304271379996,0.002729836338,0.0345559999999995,0.00345559999999999,0.000725572861999951,0.000725763661999996,0.946115813313022
"1",0.003366781,0.0349400569740006,0.002819141974,0.0356902000000007,0.00356902000000001,0.000750143026000093,0.000749878026000003,0.973295131059473
"1",0.003260281,0.0338304271379996,0.002729836338,0.0345559999999995,0.00345559999999999,0.000725572861999951,0.000725763661999996,0.946115813313022
"1",0.003934781,0.0408344192200004,0.00329478422,0.0417110000000004,0.00417109999999999,0.000876580779999997,0.000876315779999994,0.891667510587314
"1",0.003934781,0.0408344192200004,0.00329478422,0.0417110000000004,0.00417109999999999,0.000876580779999997,0.000876315779999994,0.891667510587314
"1",0.003828281,0.0397258887100004,0.00320545431,0.0405768000000002,0.00405768,0.000850911289999749,0.000852225689999997,0.936120063562254
"1",0.003934781,0.0408344192200004,0.00329478422,0.0417110000000004,0.00417109999999999,0.000876580779999997,0.000876315779999994,0.891667510587314
"1",0.003828281,0.0397258887100004,0.00320545431,0.0405768000000002,0.00405768,0.000850911289999749,0.000852225689999997,0.936120063562254
"1",0.003082781,0.0319928323380005,0.002581319738,0.0326798000000005,0.00326798,0.000686967662,0.000686660261999999,0.871434905725787
"1",0.003082781,0.0319928323380005,0.002581319738,0.0326798000000005,0.00326798,0.000686967662,0.000686660261999999,0.871434905725787
"1",0.004112281,0.0426719642000006,0.0034432404,0.0435872000000006,0.00435872,0.000915235800000025,0.0009154796,0.788452335577944
"1",0.003082781,0.0319928323380005,0.002581319738,0.0326798000000005,0.00326798,0.000686967662,0.000686660261999999,0.871434905725787
"1",0.004112281,0.0426719642000006,0.0034432404,0.0435872000000006,0.00435872,0.000915235800000025,0.0009154796,0.788452335577944
"1",0.003650781,0.0378869371099999,0.00305685291,0.0387005999999999,0.00387006000000001,0.000813662889999983,0.000813207090000005,0.9800331442138
"1",0.003650781,0.0378869371099999,0.00305685291,0.0387005999999999,0.00387006000000001,0.000813662889999983,0.000813207090000005,0.9800331442138
"1",0.003544281,0.0367776443539998,0.002967661754,0.0375663999999998,0.00375663999999999,0.000788755645999985,0.000788978245999996,0.988627024266122
