,ini,-0.12,-0.24,-0.74,-1.5,-2.5,-3.5,-4.5,,,,,,,,,,,,,,
1,0.003968402,0.0009058,0.001744,0.003797,0.003968,0.003968,0.003968,0.003968,,,,,,,,,,,,,,
1,0.003968402,0.0009058,0.001744,0.003797,0.003968,0.003968,0.003968,0.003968,,,,,,,,,,,,,,
1,0.003968402,0.0009058,0.001744,0.003797,0.003968,0.003968,0.003968,0.003968,,,,,,,,,,,,,,
1,0.003968402,0.0009058,0.001744,0.003797,0.003968,0.003968,0.003968,0.003968,,,,,,,,,,,,,,
1,0.003968402,0.0009058,0.001744,0.003797,0.003968,0.003968,0.003968,0.003968,,,,,,,,,,,,,,
1,0.003971863,0.0009066,0.001746,0.0038,0.003972,0.003972,0.003972,0.003972,,,,,,,,,,,,,,
1,0.003971863,0.0009066,0.001746,0.0038,0.003972,0.003972,0.003972,0.003972,,,,,,,,,,,,,,
1,0.003971863,0.0009066,0.001746,0.0038,0.003972,0.003972,0.003972,0.003972,,,,,,,,,,,,,,
1,0.003971863,0.0009066,0.001746,0.0038,0.003972,0.003972,0.003972,0.003972,,,,,,,,,,,,,,
1,0.003971863,0.0009066,0.001746,0.0038,0.003972,0.003972,0.003972,0.003972,,,,,,,,,,,,,,
1,0.003975324,0.0009074,0.001747,0.003803,0.003975,0.003975,0.003975,0.003975,,,,,,,,,,,,,,
1,0.003975324,0.0009074,0.001747,0.003803,0.003975,0.003975,0.003975,0.003975,,,,,,,,,,,,,,
1,0.003975324,0.0009074,0.001747,0.003803,0.003975,0.003975,0.003975,0.003975,,,,,,,,,,,,,,
1,0.003975324,0.0009074,0.001747,0.003803,0.003975,0.003975,0.003975,0.003975,,,,,,,,,,,,,,
1,0.003975324,0.0009074,0.001747,0.003803,0.003975,0.003975,0.003975,0.003975,,,,,,,,,,,,,,
1,0.003978785,0.0009082,0.001749,0.003807,0.003979,0.003979,0.003979,0.003979,,,,,,,,,,,,,,
1,0.003978785,0.0009082,0.001749,0.003807,0.003979,0.003979,0.003979,0.003979,,,,,,,,,,,,,,
1,0.003978785,0.0009082,0.001749,0.003807,0.003979,0.003979,0.003979,0.003979,,,,,,,,,,,,,,
1,0.003978785,0.0009082,0.001749,0.003807,0.003979,0.003979,0.003979,0.003979,,,,,,,,,,,,,,
1,0.003978785,0.0009082,0.001749,0.003807,0.003979,0.003979,0.003979,0.003979,,,,,,,,,,,,,,
1,0.003982246,0.000909,0.00175,0.00381,0.003982,0.003982,0.003982,0.003982,,,,,,,,,,,,,,
1,0.003982246,0.000909,0.00175,0.00381,0.003982,0.003982,0.003982,0.003982,,,,,,,,,,,,,,
1,0.003982246,0.000909,0.00175,0.00381,0.003982,0.003982,0.003982,0.003982,,,,,,,,,,,,,,
1,0.003982246,0.000909,0.00175,0.00381,0.003982,0.003982,0.003982,0.003982,,,,,,,,,,,,,,
1,0.003982246,0.000909,0.00175,0.00381,0.003982,0.003982,0.003982,0.003982,,,,,,,,,,,,,,
1,0.003985707,0.0009097,0.001752,0.003813,0.003985,0.003985,0.003985,0.003985,,,,,,,,,,,,,,
1,0.003985707,0.0009097,0.001752,0.003813,0.003985,0.003985,0.003985,0.003985,,,,,,,,,,,,,,
1,0.003985707,0.0009097,0.001752,0.003813,0.003985,0.003985,0.003985,0.003985,,,,,,,,,,,,,,
1,0.003985707,0.0009097,0.001752,0.003813,0.003985,0.003985,0.003985,0.003985,,,,,,,,,,,,,,
1,0.003985707,0.0009097,0.001752,0.003813,0.003985,0.003985,0.003985,0.003985,,,,,,,,,,,,,,
1,0.003989168,0.0009105,0.001753,0.003816,0.003989,0.003989,0.003989,0.003989,,,,,,,,,,,,,,
1,0.003989168,0.0009105,0.001753,0.003816,0.003989,0.003989,0.003989,0.003989,,,,,,,,,,,,,,
1,0.003989168,0.0009105,0.001753,0.003816,0.003989,0.003989,0.003989,0.003989,,,,,,,,,,,,,,
1,0.003989168,0.0009105,0.001753,0.003816,0.003989,0.003989,0.003989,0.003989,,,,,,,,,,,,,,
1,0.003989168,0.0009105,0.001753,0.003816,0.003989,0.003989,0.003989,0.003989,,,,,,,,,,,,,,
1,0.003992629,0.0009113,0.001755,0.00382,0.003993,0.003993,0.003993,0.003993,,,,,,,,,,,,,,
1,0.003992629,0.0009113,0.001755,0.00382,0.003993,0.003993,0.003993,0.003993,,,,,,,,,,,,,,
1,0.003992629,0.0009113,0.001755,0.00382,0.003993,0.003993,0.003993,0.003993,,,,,,,,,,,,,,
1,0.003992629,0.0009113,0.001755,0.00382,0.003993,0.003993,0.003993,0.003993,,,,,,,,,,,,,,
1,0.003992629,0.0009113,0.001755,0.00382,0.003993,0.003993,0.003993,0.003993,,,,,,,,,,,,,,
1,0.00399609,0.0009121,0.001756,0.003823,0.003996,0.003996,0.003996,0.003996,,,,,,,,,,,,,,
1,0.00399609,0.0009121,0.001756,0.003823,0.003996,0.003996,0.003996,0.003996,,,,,,,,,,,,,,
1,0.00399609,0.0009121,0.001756,0.003823,0.003996,0.003996,0.003996,0.003996,,,,,,,,,,,,,,
1,0.00399609,0.0009121,0.001756,0.003823,0.003996,0.003996,0.003996,0.003996,,,,,,,,,,,,,,
1,0.00399609,0.0009121,0.001756,0.003823,0.003996,0.003996,0.003996,0.003996,,,,,,,,,,,,,,
1,0.003999551,0.0009129,0.001758,0.003826,0.003999,0.003999,0.003999,0.003999,,,,,,,,,,,,,,
