 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 4.    Time:  11:31:16
 Units: L = cm   , T = sec  , M = g    


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  105      2.08     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  106      2.10     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  107      2.12     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  108      2.14     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  109      2.16     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  110      2.18     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  111      2.20     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  112      2.22     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  113      2.24     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  114      2.26     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  115      2.28     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  116      2.30     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  117      2.32     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  118      2.34     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  119      2.36     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  120      2.38     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  121      2.40     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  122      2.42     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  123      2.44     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  124      2.46     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  125      2.48     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  126      2.50     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  127      2.52     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  128      2.54     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  129      2.56     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  130      2.58     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  131      2.60     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  132      2.62     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  133      2.64     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  134      2.66     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  135      2.68     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  136      2.70     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  137      2.72     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  138      2.74     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  139      2.76     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  140      2.78     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  141      2.80     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  142      2.82     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  143      2.84     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  144      2.86     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  145      2.88     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  146      2.90     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  147      2.92     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  148      2.94     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  149      2.96     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  150      2.98     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  151      3.00     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  152      3.02     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  153      3.04     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  154      3.06     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  155      3.08     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  156      3.10     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  157      3.12     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  158      3.14     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  159      3.16     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  160      3.18     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  161      3.20     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  162      3.22     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  163      3.24     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  164      3.26     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  165      3.28     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  166      3.30     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  167      3.32     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  168      3.34     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  169      3.36     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
